Pathway	O1_E_1cm	O1_E_5cm	O1_K_1	O1_LI_10cm	O1_LI_19cm	O1_LI_1cm	O1_LI_28cm	O1_LI_37cm	O1_LI_46cm	O1_LI_55cm	O1_S_1	O1_S_3	O1_SI_161cm	O1_SI_1cm	O1_SI_201cm	O1_SI_41cm	O1_SI_81cm	O1_Tg_F_Th	O2_E_1cm	O2_E_5cm	O2_K_1	O2_LI_10cm	O2_LI_19cm	O2_LI_1cm	O2_LI_28cm	O2_LI_37cm	O2_LI_46cm	O2_LI_55cm	O2_S_1	O2_S_3	O2_SI_121cm	O2_SI_145cm	O2_SI_49cm	O2_Tg_TR	Y1_E_1cm	Y1_E_5cm	Y1_K_1	Y1_LI_10cm	Y1_LI_19cm	Y1_LI_1cm	Y1_LI_28cm	Y1_LI_37cm	Y1_LI_46cm	Y1_LI_55cm	Y1_S_1	Y1_S_3	Y1_SI_113cm	Y1_SI_137cm	Y1_SI_29cm	Y1_SI_85cm	Y1_Th_TG_f	Y2_E_1cm	Y2_E_5cm	Y2_K_1	Y2_LI_10cm	Y2_LI_19cm	Y2_LI_1cm	Y2_LI_28cm	Y2_LI_37cm	Y2_LI_46cm	Y2_LI_55cm	Y2_S_1	Y2_S_3	Y2_SI_113cm	Y2_SI_141cm	Y2_SI_169cm	Y2_SI_1cm	Y2_SI_29cm	Y2_SI_57cm	Y2_Tg_TR
PWY-7389: superpathway of anaerobic energy metabolism (invertebrates)	0	0	0	0	0	0	0	0	0.216909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7391: isoprene biosynthesis II (engineered)	0	0	0	0	0.280853	0	0	0	0	0	16.087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.2356	0	15.7997	0	0	0	0	0	0	0	0	0	0	0	0	4.16055	0	0	0	0	0	0	0	0	0	0	0.746588	0	0	0	0.559595	0	0	0	0	0	0	0	0	0	0
PWY-7392: taxadiene biosynthesis (engineered)	0	0	0	5.08542	2.48819	2.67152	4.80975	2.71216	3.74415	1.31475	98.4185	0	0	49.4981	0	0	0	129.826	0	0	0	0	3.9506	0.748851	0	0	0	1.27102	32.0953	54.6536	34.2659	30.4625	0	141.355	0	0	0	0	0	0.591753	0	0	0	0	90.6536	68.2572	0	0	0	0	0	0	0	0	4.95059	4.72366	10.8842	5.44836	2.8219	1.38222	1.51257	134.976	145.423	118.325	154.063	174.713	0	41.5325	194.186	35.2457
PWY-7396: butanol and isobutanol biosynthesis (engineered)	0	0	0	0	0	0	0	0	0	0	15.8101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.380722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.928343	0.616412	1.07382	1.22627	0.761253	0.896489	1.45346	14.3724	10.2376	0	0	0	0	0	0	0
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	0	0	0	67.3737	53.0889	55.9924	70.4674	54.1551	69.1686	72.0236	136.329	0	0	0	0	0	0	99.9654	157.465	0	0	55.7547	101.08	72.3544	64.5777	76.9532	57.9631	58.5497	99.6797	50.9076	0	139.568	0	141.282	0	139.654	158.533	18.0416	31.9591	59.7063	30.9336	24.4605	29.3363	29.3512	158.006	215.275	0	72.8652	0	0	0	0	0	0	128.714	109.399	130.157	149.041	127.827	123.784	131.359	260.836	276.607	153.91	189.323	168.84	0	0	239.941	0
PWY-7431: aromatic biogenic amine degradation (bacteria)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7434: terminal O-glycans residues modification (via type 2 precursor disaccharide)	0	0	0	0	0	0.19148	0	0	0	0	1.51562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.07269	3.74023	0	0	0	0	33.5419	0	0	0	0	0	0	0	0	0	2.93464	9.62284	0	0	0	0	0	0	0	0	0.19007	0.177086	0.587759	0.211038	0	0.194402	0	11.2978	15.2466	0	0	0	0	0	4.43306	0
PWY-7446: sulfoquinovose degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.202959	0	0.240665	0.206124	0.41671	0.375717	0.490538	0	0	0	0	0	0	0	0	0
"PWY-7456: &beta;-(1,4)-mannan degradation"	0	0	0	34.985	32.4034	34.7088	35.4938	37.0547	34.7343	40.3215	12.6778	0	0	0	0	19.9036	0	21.2627	0	0	0	28.5715	34.9429	24.5217	25.4897	29.0748	25.2403	23.3603	27.4641	55.8786	0	49.9132	0	62.3213	0	0	0	12.9769	15.5366	49.6074	15.9405	17.2247	16.3634	12.6972	51.8452	0	0	42.2698	0	0	0	0	0	0	32.2758	30.8208	41.5434	34.8484	28.6345	30.7751	33.1501	0	0	4.79255	19.5463	22.507	0	15.1365	28.6694	0
PWY-7511: protein ubiquitination	0	0	0	0	0	0	0	0	0	0	0	31.6868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.07219	4.70127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.997674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05562	0.698735	0	0	0	0	0	0	0
PWY-7560: methylerythritol phosphate pathway II	0	0	0	153.367	122.454	110.148	141.497	169.168	141.999	152.577	306.849	0	128.388	128.812	87.1769	45.0515	134.738	222.996	87.7225	80.0919	0	186.251	166.935	195.985	202.67	177.204	74.9221	109.901	179.705	186.969	145.708	135.666	103.457	279.218	86.1359	164.157	0	44.8284	29.249	226.115	29.4682	31.1484	36.9863	26.6983	243.186	224.405	0	235.412	0	0	76.9011	83.3454	0	0	218.772	159.803	280.092	154.265	120.893	150.4	164.217	130.997	139.607	224.333	269.073	207.392	73.2763	138.634	252.307	62.2022
PWY-7616: methanol oxidation to carbon dioxide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428912	0.122306	0	0.248568	0	0.315589	1.02784	0	0.622602	0	0	0	0	0	0	0
PWY-7663: gondoate biosynthesis (anaerobic)	0	0	47.7467	238.022	211.809	211.035	227.874	241.312	213.095	245.002	491.166	45.7293	68.9458	199.749	66.768	73.7951	90.735	577.615	210.424	61.0094	36.2946	245.431	321.535	168.189	202.629	185.794	96.033	95.8786	515.798	341.426	215.508	188.915	107.292	357.503	220.716	303.262	223.366	91.0906	85.7894	273.283	92.474	93.0599	94.7138	69.0231	222.028	494.517	0	240.61	50.9743	0	110.367	105.255	87.1966	26.6019	157.902	167.448	199.022	191.224	169.946	181.886	170.067	560.545	613.838	269.892	319.711	341.9	52.3576	85.9779	362.036	311.262
PWY-7664: oleate biosynthesis IV (anaerobic)	0	0	0	22.3775	20.4055	31.082	27.17	25.2919	25.9128	20.5917	301.895	41.1544	37.2787	118.774	31.7612	0	0	368.094	186.838	0	0	9.10427	22.9824	13.6462	12.5654	15.476	13.7686	11.5353	374.177	228.812	59.8033	153.325	30.09	280.895	164.949	244.244	172.343	8.5167	7.8167	57.1522	9.37263	11.1134	9.17096	6.53201	198.052	455.684	0	75.6423	44.7149	0	87.9058	93.3074	0	0	48.0695	38.296	48.9867	54.0198	41.8389	46.0277	65.1082	286.314	283.566	24.0524	80.0618	62.5644	0	37.8924	91.6242	293.63
PWY-7688: dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis	0	0	0	1.43788	1.47672	5.44657	1.1834	0	0.999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.575792	0.352926	0.31576	2.68935	1.34953	0	0	0	0	0	0	0	0	0	0.747225	0	0	0	0.431342	0.570061	0	0	0	0	0	0	0	0	0	0	0	3.10961	1.43546	8.12562	2.71988	0.722774	2.42387	2.09968	0	0	0	0	0	0	0	0	0
PWY-7723: bacterial bioluminescence	0	0	0	0	0	0	0	0	0	0.275474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7731: superpathway of photosynthetic hydrogen production	0	0	0	0	0	0	0	0	0	0	3.79291	0	0	0	0	0	0	0	0	0	0	0	0.920785	0	0.197092	0	0	0	1.26041	0	0	0	0	0	0	0	0	0	0.149176	0	0.140875	0	0.161012	0.189745	0	1.21179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.41939	4.71662	0	0	0	0	0	0	0
PWY-7761: NAD salvage pathway II (PNC IV cycle)	0	0	28.7549	88.8355	87.2753	69.1654	86.5673	98.1879	85.1425	95.8698	50.3444	0	0	0	29.0804	25.6674	0	48.6502	21.7865	0	45.235	93.6943	103.853	66.0106	83.3643	72.3269	54.619	42.6178	101.093	73.8794	40.0338	60.5429	0	59.9467	0	0	0	39.8949	47.5032	71.6566	49.7976	40.2859	46.592	26.6355	73.3402	144.128	0	47.73	0	0	0	23.0445	0	0	59.8051	67.5417	80.8107	75.2433	67.1819	61.4668	74.382	72.4664	66.5783	216.419	219.853	230.034	0	70.6755	192.127	0
PWY-7783: plasmalogen degradation	0	0	0	0	0	0	0	0	0	0	8.85338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7790: UMP biosynthesis II	95.1222	102.085	129.373	703.159	758.871	718.234	732.08	742.254	690.709	714.972	558.419	0	489.682	310.401	446.63	495.061	512.162	628.916	107.903	119.955	159.779	562.168	605.314	513.194	543.26	486.121	372.757	392.507	492.451	435.419	286.739	293.058	225.759	499.737	244.242	251.048	123.539	547.002	514.957	708.982	495.383	512.837	503.534	529.156	479.74	443.898	0	550.031	0	0	70.6142	174.375	0	112.369	511.52	447.629	562.344	474.109	400.794	453.326	473.019	602.217	649.519	442.348	463.967	473.343	416.6	405.987	565.774	177.49
PWY-7791: UMP biosynthesis III	95.1222	102.085	129.373	703.159	758.871	718.234	732.08	742.254	690.709	714.972	558.419	49.0341	489.682	310.401	446.63	495.061	512.162	628.916	107.903	119.955	159.779	562.168	605.314	513.194	543.26	486.121	372.757	392.507	492.451	435.419	286.739	293.058	225.759	499.737	244.242	251.048	123.539	547.002	514.957	708.982	495.383	512.837	503.534	529.156	479.74	443.898	0	550.031	0	0	0	174.375	0	112.369	511.52	447.629	562.344	474.109	400.794	453.326	473.019	602.217	649.519	442.348	463.967	473.343	416.6	405.987	565.774	177.49
PWY-7820: teichuronic acid biosynthesis (B. subtilis 168)	0	0	0	0.432089	0	0	0.29234	0.298002	0.372931	0.374314	0	0	0	0	0	0	0	2.68959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.448942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.19852	1.75776	2.20398	1.74575	1.21103	1.81622	1.38396	0	0	0	0	0	0	0	0	0
PWY-7851: coenzyme A biosynthesis II (eukaryotic)	0	0	116.235	517.821	602.77	564.49	567.675	563.454	524.938	544.686	339.265	44.9322	343.673	174.733	348.825	406.615	388.531	388.871	146.175	67.512	71.5824	362.335	408.469	327.192	362.142	314.594	282.46	239.758	231.169	255.661	233.125	130.804	153.287	340.237	0	52.7636	169.203	350.006	297.032	489.17	291.825	296.149	298.966	290.619	304.681	266.979	0	381.71	0	0	169.016	109.522	0	110.003	316.616	272.333	365.54	303.663	252.081	272.088	290.435	422.66	461.002	418.315	395.606	393.64	263.194	301.003	367.122	139.028
PWY-7858: (5Z)-dodecenoate biosynthesis II	0	0	0	14.7468	13.4549	20.5751	18.0452	16.7311	17.2235	13.5543	71.8041	0	27.5286	63.4962	22.993	0	0	44.7195	76.4795	0	0	5.86333	14.943	8.62427	8.17211	9.69728	7.40431	6.04387	149.806	79.3193	34.9334	60.0928	20.8138	82.0333	120.473	199.086	0	5.50067	5.12724	37.9888	6.15502	7.29628	6.04193	4.24727	70.5017	310.966	0	52.8667	0	0	64.6536	44.822	0	0	32.6175	25.8457	32.578	36.8702	28.6141	31.537	46.2503	134.791	140.642	15.7927	54.0843	39.5712	0	27.4048	61.8896	183.094
PWY-7883: anhydromuropeptides recycling II	0	0	0	7.50567	4.32304	3.42812	5.80371	6.15374	10.6245	11.0148	124.74	0	0	40.5989	0	0	0	114.173	64.9377	0	0	10.3227	15.3331	4.25578	7.16021	7.33222	2.62668	2.38526	156.007	79.6969	39.4165	27.4174	0	69.1833	0	0	113.582	2.49225	5.5577	21.4758	5.28945	6.62191	5.09566	4.24315	55.7912	150.728	0	0	0	0	0	0	0	0	10.4789	7.34859	27.8338	12.8462	5.34727	5.87891	12.3363	129.797	150.94	114.676	145.882	56.6063	0	0	119.089	89.1545
PWY-7942: 5-oxo-L-proline metabolism	0	0	0	0	0.33742	0	0	0	0	0	0	0	0	0	0	0	0	0	82.4739	0	0	0.630584	0	0	0	0	0	0	0	0	0	0	0	0	0	32.5956	134.574	0	0	0.57997	0	0	0	0	0	7.23184	0	0	0	0	0	0	0	0	3.04968	2.19227	3.84753	5.47559	5.45026	2.24565	5.87867	2.21385	5.87199	0	0	0	0	0	0	0
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	0	91.2631	156.878	606.458	658.764	580.56	629.406	642.617	602.749	626.204	482.78	46.4271	406.46	220.123	408.78	412.875	388.411	529.976	127.081	0	113.802	503.952	523.426	452.051	477.138	439.365	350.442	361.039	452.909	338.979	257.061	210.686	221.459	403.637	67.5366	132.497	110.361	385.432	355.759	559.779	355.043	373.753	385.032	428.715	335.965	396.226	0	474.187	0	0	96.5412	111.136	0	127.715	429.402	384.966	480.852	409.321	369.148	389.703	417.35	404.574	462.24	396.651	428.56	402.309	269.743	345.386	395.535	76.7126
PWY-7977: L-methionine biosynthesis IV	93.2965	0	128.236	292.458	251.623	312.937	275.793	285.952	301.906	308.29	202.852	0	141.71	119.106	190.026	174.907	175.63	358.769	132.832	0	75.1732	338.671	329.227	310.659	320.074	318.888	214.776	213.362	180.814	165.239	109.695	146.87	114.904	209.969	173.205	226.435	137.114	111.454	147.932	371.211	140.573	138.65	140.758	129.871	228.306	402.369	0	338.771	0	0	97.6726	56.0859	0	117.654	285.779	227.753	347.238	246.051	192.151	243.582	241.674	148.589	143.79	137.191	188.116	200.17	107.529	169.938	173.938	153.29
PWY-7992: superpathway of menaquinol-8 biosynthesis III	0	0	0	17.0281	9.82198	27.0155	17.9404	13.2327	10.3414	6.72546	23.7823	0	0	0	0	0	0	12.7147	0	0	0	4.79298	12.6863	7.27861	4.43646	6.80974	3.34728	0	8.38935	35.6052	0	0	0	43.3871	0	0	0	1.26851	1.69266	4.31495	2.25055	3.19406	3.16834	3.03992	35.4985	0.918728	0	13.2139	0	0	0	0	0	0	10.194	9.94573	10.8589	9.8324	8.31439	8.24356	5.26821	19.3483	12.1954	0	19.9185	0	0	0	16.6857	0
PWY-8004: Entner-Doudoroff pathway I	0	0	0	17.6416	14.8376	16.7412	18.1202	16.2982	16.7463	14.4887	166.958	0	0	79.0411	0	0	0	149.76	0	0	0	8.86577	11.7945	5.4469	8.62396	7.80638	3.57098	3.02777	220.566	109.823	64.6082	32.8296	0	81.0033	0	0	0	1.88926	1.90815	9.43859	3.52097	0.8448	3.33403	3.52547	79.9078	100.621	0	14.3278	0	0	0	0	0	0	25.4644	23.016	29.571	33.7444	26.8373	23.6132	29.4463	202.869	218.88	51.9967	72.9435	0	0	22.2417	87.9377	114.169
PWY-801: homocysteine and cysteine interconversion	0	0	0	0	0	0.519412	0.31495	0	0.176143	0.576116	6.23016	0	0	0	0	0	0	3.17328	0	0	0	0.226579	0	0.178866	0	0.314235	0	0	12.0087	7.47163	0	0	0	0	0	0	0	0	0.433129	0.192522	0	0	0.148053	0.246183	4.03255	21.3408	0	0	0	0	0	0	0	0	1.63147	1.31366	3.95015	2.60339	1.46497	1.80669	2.55792	99.0629	96.1868	24.2175	61.0808	44.2786	0	0	123.962	0
PWY-8073: lipid IVA biosynthesis (P. putida)	0	0	0	6.78257	4.23079	14.6933	8.87426	7.31673	9.88199	8.36841	75.0378	0	0	0	31.0673	34.0691	0	77.4767	97.3507	0	0	2.7784	2.52282	1.696	2.12282	2.50364	0.654703	0	133.565	128.583	19.6564	62.921	18.4221	93.0677	67.4144	114.546	85.4792	0.58117	0	4.52644	0	0	0	0.544708	78.4672	203.86	0	3.47207	0	0	0	0	0	0	15.8101	12.9421	16.0492	16.211	16.237	20.6469	23.557	90.5884	92.901	0	0	0	0	0	7.85443	0
"PWY-8086: (S)-lactate fermentation to propanoate, acetate and hydrogen"	0	0	0	0	0	0	0	0	0.101326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-8112: factor 420 biosynthesis I (archaea)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.572882	0.605508	0.303351	0.234909	0.840213	2.67784	7.31121	0	1.72711	0	0	0	1.87491	0	0	0	3.82964	0	0	0	1.01914	1.33575	0.290948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.249941	0	0.186331	0	0	0	0	0	0	0	0	0
PWY-8113: 3PG-factor 420 biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.537984	0.526004	0	0	0.705117	2.67784	7.10589	0	1.72711	0	0	0	0	0	0	0	3.42223	0	0	0	1.01914	1.15801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238677	0	0	0	0	0	0	0	0	0	0	0
PWY-8125: mevalonate pathway IV (archaea)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.83611	0	0	0	0	0.516172	0	3.32569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-8131: 5-deoxyadenosine degradation II	0	0	0	28.1323	26.9061	225.874	20.744	7.49825	9.3162	9.51498	17.2802	0	18.3454	0	32.7313	0	30.5888	24.0182	0	0	0	19.1056	42.1515	41.5195	9.80958	8.26318	6.03989	6.62618	5.99669	23.7294	0	7.64713	15.4248	30.719	41.4054	0	0	39.3163	11.0759	42.8347	8.80352	21.3623	7.42699	5.36553	50.3074	24.1331	0	13.7918	0	0	0	0	0	0	30.0563	24.1816	32.7791	19.0952	6.4572	7.29422	6.84206	3.76153	5.25499	0	0	0	0	0	0	0
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	128.057	0	0	371.695	384.141	305.297	374.882	399.459	350.121	375.226	380.601	153.497	213.593	132.051	205.891	262.153	238.172	345.845	122.343	63.0443	50.3946	301.001	374.221	239.168	294.619	249.597	232.86	236.37	373.778	285.775	272.576	240.172	184.767	352.856	166.263	211.526	157.014	251.42	253.25	357.211	261.487	256.445	258.711	228.422	322.192	573.292	0	337.566	0	0	122.362	86.737	92.8019	50.8703	273.179	277.248	272.141	284.938	271.512	273.608	294.458	360.031	381.872	286.252	400.762	388.471	195.262	184.092	372.803	332.007
PWY-8182: valproate &beta;-oxidation	0	0	0	5.64303	3.55723	4.47702	5.49075	5.45962	5.49338	6.91878	0	0	0	0	0	0	0	0	0	0	0	2.7507	4.51193	4.0956	3.54195	4.32477	3.92741	3.85072	0	4.54998	0	0	0	0	0	0	0	0.355965	0	0	0.430657	0	0.352264	0.31362	0	0	0	0	0	0	0	0	0	0	8.69516	8.62067	8.89285	11.5156	12.9238	9.17333	10.7206	0	0	0	0	0	0	0	19.0499	0
PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)	0	0	0	66.6177	67.7102	54.4788	76.4997	59.4718	72.1268	69.9456	155.28	50.6224	0	0	43.6	0	23.6228	123.67	101.268	0	24.4926	48.7212	59.0063	62.8031	40.8687	61.9678	125.128	157.459	73.9608	108.132	107.049	26.7179	28.2117	174.928	39.1559	99.38	179.186	124.361	121.464	18.6976	112.122	128.17	138.718	200.501	233.905	235.184	0	4.26455	0	0	0	0	0	61.2023	63.1676	89.9022	32.3703	86.7985	94.244	99.0535	108.857	204.758	214.593	76.4844	126.458	153.928	0	0	204.085	0
PWY-8188: L-alanine degradation VI (reductive Stickland reaction)	0	0	0	4.02657	2.45006	6.75721	3.02808	0	0.783373	0.910501	5.67457	0	0	0	0	0	0	6.36016	0	0	0	0	0.985366	0.794939	0.758246	1.24002	2.28969	1.22374	0	0	0	0	0	3.8078	0	0	0	0.734674	1.20308	1.91753	1.54546	0	0.896438	0.800349	0	1.47235	0	0	0	0	0	0	0	0	0	0	1.2238	0.791802	0.763797	0	0.460793	0	1.41974	0	0	0	0	0	0	0
PWY-8189: L-alanine degradation V (oxidative Stickland reaction)	0	0	0	4.02657	2.45006	6.75721	3.02808	0	0.783373	0.910501	5.67457	0	0	0	0	0	0	6.36016	0	0	0	0	0.985366	0.794939	0.758246	1.24002	2.28969	1.22374	0	0	0	0	0	3.8078	0	0	0	0.734674	1.20308	1.91753	1.54546	0	0.896438	0.800349	0	1.47235	0	0	0	0	0	0	0	0	0	0	1.2238	0.791802	0.763797	0	0.460793	0	1.41974	0	0	0	0	0	0	0
PWY-8190: L-glutamate degradation XI (reductive Stickland reaction)	0	0	0	1.0559	0.798875	1.76364	1.37323	0.917347	1.24903	0.867692	19.0915	0	0	0	0	0	0	17.3535	0	0	0	0.372696	0.572753	0.519126	0.362294	0.406582	0	0	28.023	22.0241	0	0	0	21.2709	0	0	0	0	0	0.613055	0.200639	0.307751	0.266743	0.208738	11.7129	34.2827	0	0	0	0	0	0	0	0	0.981473	0.933177	0.798278	1.01544	1.42465	1.3742	1.52873	15.8804	15.7474	0	0	0	0	0	0	0
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	0	0	0	10.792	11.9797	18.6025	15.1009	14.7443	12.0802	15.9963	12.9338	0	0	52.9776	0	0	0	0	0	0	0	6.06985	9.0803	6.54238	2.75041	2.66738	0	0	57.6777	18.8218	0	57.7721	0	15.5782	0	54.0489	0	3.47607	0	10.3669	2.43987	1.05779	0	0	5.8105	18.2879	0	25.2239	0	0	0	0	0	0	38.0624	30.7884	47.207	39.812	38.5366	44.8343	52.1641	28.094	27.7774	0	19.0749	17.7485	0	22.0434	17.1302	0
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	0	0	0	354.12	359.736	395.599	317.335	312.393	269.932	283.858	451.008	0	180.978	214.458	100.299	278.152	217.964	404.167	77.797	0	97.7707	233.909	323.584	243.285	245.775	237.623	192.174	216.177	440.337	363.869	201.47	207.737	149.563	387.584	210.267	233.934	175.295	248.811	198.87	219.102	185.637	218.309	192.624	193.707	401.531	517.275	0	147.734	0	0	0	171.868	0	100.949	234.454	228.128	239.928	251.177	237.637	247.287	227.778	457.288	510.248	270.488	306.856	346.932	106.331	206.216	256.563	224.995
PWY-922: mevalonate pathway I (eukaryotes and bacteria)	0	0	0	0	0.617816	0	0	0	0.447088	0	37.2458	0	0	0	0	0	0	18.5133	0	0	0	0	1.49	0	0	0	0	0	23.9801	21.9984	27.8798	19.2297	0	79.6117	0	0	0	0	0	0.378849	0	0	0.385231	0.271502	52.8767	90.866	0	0	0	0	0	0	0	0	1.07491	1.15848	2.9911	2.90234	1.64765	0.810629	0.496074	144.281	165.574	65.5406	65.9631	59.2929	0	0	117.323	0
PWY-I9: L-cysteine biosynthesis VI (from L-methionine)	0	0	0	21.4203	19.4313	21.6703	23.5092	19.2468	20.1562	24.438	322.835	68.5963	12.9806	151.837	0	72.0721	17.019	306.467	131.302	0	0	22.2487	27.304	17.5289	17.8076	22.7195	14.0357	11.9657	298.962	200.795	231.582	171.865	97.1337	366.873	130.796	117.233	0	4.62938	16.4884	25.2883	19.068	15.6736	16.1103	18.4113	280.521	494.732	0	17.9231	38.5272	0	116.064	70.3123	86.0231	0	33.1704	23.0038	35.5258	35.697	25.6312	24.9768	34.3717	404.304	468.135	142.297	175.241	186.072	0	36.9004	239.232	183.298
PWY0-1061: superpathway of L-alanine biosynthesis	0	0	0	55.991	46.8708	35.4599	50.0736	54.919	52.3962	52.2217	192.837	92.5356	30.6013	49.8757	0	48.3261	30.988	207.596	0	33.2603	0	52.9799	71.196	31.4818	45.4551	39.8456	27.7271	25.2125	246.391	154.827	29.7777	35.9025	27.6741	78.8725	73.8522	117.487	0	37.2507	50.9973	59.722	50.1089	33.13	44.1848	21.9395	97.3329	297.684	0	58.77	0	0	0	0	0	0	34.7646	48.0992	31.1214	36.372	49.4203	37.3289	43.4202	211.429	214.535	29.7959	55.0772	27.7341	66.3903	0	26.198	156.168
PWY0-1221: putrescine degradation II	0	0	0	0	0	0	0	0	0	0.037243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	0	0	0	274.118	374.551	193.627	321.904	326.255	258.638	273.607	48.6037	0	219.669	48.5087	215.28	268.636	208.154	63.32	0	0	37.2858	64.1077	136.941	48.3062	75.358	34.4692	15.8729	24.22	110.817	77.5383	0	48.54	42.1466	60.5902	95.8306	93.0787	0	72.1338	46.9608	119.855	46.691	57.6501	49.4196	33.7872	91.0785	166.357	0	140.417	34.9943	0	0	34.6171	0	0	72.7455	74.4175	72.9922	74.3987	80.9575	73.2627	88.6104	54.9843	54.8628	124.076	101.872	16.3275	177.533	172.595	76.9216	85.9634
PWY0-1261: anhydromuropeptides recycling I	0	0	0	129.157	118.507	85.2867	135.789	125.903	127.18	137.147	167.724	0	0	65.9177	0	52.9813	0	176.956	64.9377	0	0	59.8599	88.6289	28.6201	64.77	24.0476	8.71863	5.73885	193.813	110.43	39.4165	75.3021	26.059	81.7832	0	107.939	113.582	19.5532	39.9505	94.9141	43.5004	40.0462	38.6224	22.9063	84.3084	297.518	0	100.362	0	0	0	0	0	0	63.9545	63.6689	64.3585	71.5273	71.8292	67.6039	79.4335	194.924	210.287	155.481	145.882	70.1274	0	0	123.294	89.1545
PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	0	0	0	0	0	0	0	0	0.274496	0.221796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93822	0	1.28808	2.02543	1.3872	1.53032	2.47304	0	0	0	0	0	0	0	0	0
